order_item_id,Predictions
100001,1
100002,1
100003,1
100004,0
100005,0
100006,0
100007,0
100008,1
100009,0
100010,1
100011,0
100012,1
100013,1
100014,1
100015,1
100016,1
100017,0
100018,1
100019,1
100020,1
100021,1
100022,1
100023,0
100024,0
100025,0
100026,0
100027,0
100028,1
100029,1
100030,1
100031,1
100032,0
100033,1
100034,1
100035,1
100036,0
100037,1
100038,1
100039,1
100040,1
100041,1
100042,0
100043,0
100044,1
100045,1
100046,1
100047,1
100048,1
100049,1
100050,1
100051,1
100052,0
100053,0
100054,1
100055,1
100056,0
100057,0
100058,1
100059,1
100060,1
100061,1
100062,1
100063,1
100064,1
100065,1
100066,1
100067,0
100068,0
100069,0
100070,0
100071,0
100072,0
100073,0
100074,1
100075,1
100076,1
100077,0
100078,0
100079,0
100080,0
100081,1
100082,0
100083,1
100084,1
100085,1
100086,0
100087,1
100088,1
100089,1
100090,1
100091,1
100092,0
100093,1
100094,1
100095,0
100096,1
100097,1
100098,0
100099,0
100100,0
100101,0
100102,0
100103,0
100104,0
100105,1
100106,1
100107,1
100108,1
100109,1
100110,0
100111,0
100112,0
100113,0
100114,0
100115,0
100116,0
100117,0
100118,0
100119,1
100120,0
100121,0
100122,0
100123,1
100124,1
100125,1
100126,1
100127,1
100128,1
100129,1
100130,0
100131,0
100132,0
100133,0
100134,0
100135,0
100136,0
100137,0
100138,0
100139,1
100140,0
100141,0
100142,1
100143,0
100144,0
100145,0
100146,0
100147,0
100148,0
100149,0
100150,1
100151,0
100152,1
100153,1
100154,0
100155,0
100156,0
100157,0
100158,0
100159,0
100160,1
100161,1
100162,0
100163,0
100164,0
100165,0
100166,0
100167,0
100168,0
100169,1
100170,1
100171,1
100172,1
100173,1
100174,1
100175,1
100176,1
100177,0
100178,1
100179,0
100180,0
100181,0
100182,0
100183,0
100184,0
100185,0
100186,0
100187,0
100188,0
100189,0
100190,0
100191,0
100192,0
100193,0
100194,1
100195,0
100196,1
100197,0
100198,1
100199,1
100200,1
100201,0
100202,0
100203,0
100204,0
100205,0
100206,0
100207,0
100208,1
100209,0
100210,0
100211,0
100212,0
100213,0
100214,0
100215,0
100216,0
100217,0
100218,0
100219,1
100220,1
100221,1
100222,0
100223,0
100224,0
100225,0
100226,0
100227,0
100228,0
100229,0
100230,0
100231,0
100232,0
100233,1
100234,0
100235,0
100236,0
100237,0
100238,1
100239,0
100240,1
100241,0
100242,0
100243,0
100244,0
100245,1
100246,0
100247,1
100248,1
100249,1
100250,1
100251,1
100252,1
100253,0
100254,0
100255,0
100256,0
100257,0
100258,0
100259,0
100260,0
100261,0
100262,0
100263,1
100264,1
100265,1
100266,1
100267,0
100268,1
100269,1
100270,1
100271,1
100272,1
100273,1
100274,1
100275,1
100276,1
100277,1
100278,0
100279,1
100280,1
100281,1
100282,1
100283,0
100284,1
100285,1
100286,0
100287,0
100288,1
100289,1
100290,1
100291,0
100292,1
100293,1
100294,1
100295,1
100296,0
100297,1
